cif,FundID,cust_rlv,fund_rlv
1000008790,01017,5,4
1000008829,02004,4,4
1000008829,NN025,4,3
1000008829,IV008,4,3
1000008833,JA019,4,3
1000008988,AL003,5,3
1000009112,AB025,3,3
1000009154,02007,4,3
1000009182,AL004,3,3
1000009182,AL007,3,3
1000009182,AL003,3,3
1000009574,07021,4,4
1000009987,FD067,5,5
1000009987,FD065,5,5
1000010003,04015,4,4
1000010092,UB047,5,5
1000010092,ES038,5,4
1000010121,UB047,5,5
1000010121,06017,5,4
1000010362,FD057,4,5
1000010362,03013,4,4
1000010362,02007,4,3
1000010392,02007,4,3
1000010533,FD009,5,3
1000010533,FD076,5,3
1000010533,FD060,5,5
1000010533,SC120,5,5
1000010632,NE006,4,3
1000010890,01010,3,3
1000010935,06025,5,5
1000011749,AL003,3,3
1000011749,PI153,3,3
1000011749,NN025,3,3
1000012128,04070,4,3
1000012376,06055,3,3
1000012422,AL003,5,3
1000012713,AL003,4,3
1000013038,AL003,3,3
1000013104,FC008,3,2
1000013318,AL003,3,3
1000013583,02027,5,3
1000013583,12020,5,3
1000013583,14005,5,4
1000013583,02016,5,4
1000013609,02023,4,4
1000013853,AL003,5,3
1000013895,AL003,3,3
1000013897,AL003,5,3
1000013961,06041,5,3
1000014246,JA004,4,3
1000014460,FD039,5,4
1000014749,02007,5,3
1000014791,07026,5,4
1000014791,08023,5,5
1000014791,FD007,5,3
1000014791,03021,5,4
1000014791,FD063,5,5
1000014791,07025,5,4
1000014856,FC005,5,4
1000015045,SC120,5,5
1000015197,NE008,5,3
1000015291,ES028,3,3
1000015291,ES003,3,2
1000015292,AL003,4,3
1000015359,01018,4,4
1000015375,03028,5,5
1000015375,03020,5,4
1000015375,07033,5,5
1000015375,03014,5,4
1000015375,07030,5,4
1000015375,07043,5,5
1000015375,03034,5,5
1000015375,06021,5,4
1000015375,03029,5,5
1000015375,02014,5,5
1000015402,02007,4,3
1000015561,02007,4,3
1000015561,NN021,4,2
1000015561,NN025,4,3
1000015632,02007,4,3
1000015771,AL024,4,4
1000015771,02007,4,3
1000015771,01057,4,4
1000015869,PI153,5,3
1000015869,AL003,5,3
1000015870,13008,4,4
1000015870,AL004,4,3
1000015870,13004,4,4
1000016027,03028,5,5
1000016185,IN022,5,3
1000016277,02007,3,3
1000016279,NN025,5,3
1000016372,FD058,5,5
1000016745,FC008,2,2
1000016811,FD003,5,3
1000016928,JA019,5,3
1000017141,FD063,5,5
1000017465,NE008,4,3
1000017510,AB003,5,5
1000017510,FD047,5,4
1000017510,FD021,5,4
1000017692,FD085,4,3
1000017692,FD017,4,4
1000017694,01009,5,3
1000018612,FD065,5,5
1000018920,AL003,4,3
1000019075,03028,5,5
1000019482,PI153,3,3
1000019578,NN025,5,3
1000019635,EU017,5,5
1000019747,06007,4,3
1000019757,FD008,4,3
1000019829,03028,5,5
1000020034,FD011,5,3
1000020047,12020,4,3
1000020091,FD058,5,5
1000020091,JH006,5,4
1000020091,IN011,5,4
1000020091,AL019,5,4
1000020091,AB011,5,5
1000020091,JH002,5,4
1000020091,AB032,5,3
1000020091,FD063,5,5
1000020091,FS009,5,5
1000020091,PT049,5,5
1000020091,UB047,5,5
1000020091,FC005,5,4
1000020091,AL033,5,5
1000020269,UB047,5,5
1000021058,02011,5,4
1000021077,AL003,5,3
1000021196,03011,5,4
1000021268,06025,5,5
1000021268,06017,5,4
1000021268,02007,5,3
1000021268,06022,5,4
1000021268,04015,5,4
1000021268,03012,5,4
1000021273,OM010,3,3
1000021385,07012,5,3
1000021385,08040,5,3
1000021385,03014,5,4
1000021386,FD067,4,5
1000021386,03028,4,5
1000021469,ES002,5,2
1000021697,03028,5,5
1000021710,ES061,5,5
1000021710,ET024,5,4
1000021710,ET014,5,4
1000021868,AL003,4,3
1000021868,10006,4,4
1000021868,02023,4,4
1000022156,AL003,3,3
1000022160,AL003,5,3
1000022244,13006,5,4
1000022244,06022,5,4
1000022254,02007,3,3
1000022425,02007,5,3
1000022762,13003,5,4
1000022887,FD007,5,3
1000022887,FD035,5,4
1000022937,AL003,3,3
1000023036,03034,4,5
1000023106,PI153,3,3
1000023418,FD008,5,3
1000023564,FD060,5,5
1000023598,FC005,4,4
1000023598,NN025,4,3
1000023729,NN025,5,3
1000023729,PI153,5,3
1000023729,AL003,5,3
1000023729,06007,5,3
1000023897,PT022,5,4
1000023897,PT030,5,4
1000023897,NN040,5,4
1000023901,03028,5,5
1000023965,AL024,4,4
1000023967,IN010,5,4
1000023967,01007,5,3
1000023967,FD060,5,5
1000024054,06017,5,4
1000024293,06055,5,3
1000024293,AB013,5,5
1000024293,NN025,5,3
1000024293,AL058,5,4
1000024293,FC004,5,4
1000024293,AL007,5,3
1000024293,03015,5,4
1000024293,FC017,5,3
1000024293,NE006,5,3
1000024293,AM003,5,3
1000024293,04021,5,5
1000024293,FC002,5,4
1000024330,AL003,5,3
1000024409,02007,4,3
1000024547,LM042,5,4
1000024547,06022,5,4
1000024550,FD006,5,3
1000024550,FD035,5,4
1000024771,NI001,3,3
1000025080,AB001,5,4
1000025080,SC121,5,5
1000025080,AB013,5,5
1000025080,OM020,5,4
1000025080,SC120,5,5
1000025151,NN046,5,4
1000025151,NN050,5,4
1000025151,FD082,5,3
1000025151,02007,5,3
1000025151,03028,5,5
1000025151,03026,5,4
1000025151,LM042,5,4
1000025151,03029,5,5
1000025151,FD007,5,3
1000025151,06017,5,4
1000025151,09014,5,5
1000025588,NN021,5,2
1000025731,AL003,5,3
1000025731,PI152,5,2
1000025731,AL024,5,4
1000025804,03020,5,4
1000025874,PI122,3,3
1000025917,SC120,5,5
1000026269,AL003,3,3
1000026450,AL003,3,3
1000026512,NN025,5,3
1000026512,06058,5,3
1000026512,IV021,5,3
1000026512,PI153,5,3
1000026512,IV022,5,3
1000026512,NE006,5,3
1000026512,FC014,5,3
1000026512,FC012,5,3
1000026512,JH014,5,4
1000026512,NI001,5,3
1000026512,UB009,5,3
1000026512,IN024,5,2
1000026512,AB031,5,3
1000026515,UB047,5,5
1000026515,06017,5,4
1000026515,06025,5,5
1000026515,FS009,5,5
1000026621,AL003,4,3
1000026688,03026,5,4
1000026816,AL003,5,3
1000026816,ES053,5,5
1000026816,01015,5,4
1000026912,NN025,3,3
